1stU,GC_Per,GC_Per1,GC_Flag,ntReps,dintReps,trintReps,b7_U,b4-8,s_5Bar,labels
1,0.0,47.37,1,1,1,1.0,0,0,-1,1
1,0.0,47.37,1,1,1,1.0,0,0,-1,0
0,0.0,47.37,1,1,1,1.0,1,0,-1,1
1,0.0,47.37,1,1,1,1.0,0,0,1,1
1,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,1,0,1,1
1,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
1,0.0,52.63,1,1,1,1.0,0,0,-1,1
1,5.26,42.11,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,10.53,52.63,1,1,1,1.0,0,0,1,1
0,0.0,42.11,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,0.0,52.63,1,1,1,1.0,1,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
1,10.53,52.63,1,1,1,1.0,1,0,1,1
1,10.53,42.11,1,1,1,1.0,0,0,1,1
0,0.0,52.63,1,1,1,1.0,1,0,-1,1
0,5.26,52.63,1,1,1,1.0,1,0,-1,1
1,0.0,57.89,0,1,1,1.0,0,0,1,1
1,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
1,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,0.0,42.11,1,1,1,1.0,1,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,0.0,52.63,1,1,1,1.0,0,0,1,1
1,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,1,0,-1,1
1,0.0,52.63,1,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
1,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
1,5.26,63.16,0,1,1,1.0,1,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,0,0,1,1
0,10.53,47.37,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,1,0,1,1
1,0.0,52.63,1,1,1,1.0,1,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,0.0,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,0.0,57.89,0,1,1,1.0,0,0,1,1
0,15.79,63.16,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,1,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
1,15.79,57.89,0,1,1,1.0,0,0,1,1
0,15.79,57.89,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
1,10.53,63.16,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
1,5.26,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,1,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,15.79,63.16,0,1,1,1.0,1,0,1,1
0,15.79,63.16,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,1,0,1,1
0,15.79,63.16,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
1,0.0,42.11,1,1,1,1.0,0,0,1,1
0,0.0,42.11,1,1,1,1.0,0,0,1,1
0,10.53,42.11,1,1,1,1.0,0,0,1,1
0,0.0,42.11,1,1,1,1.0,0,0,1,1
1,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,1,0,-1,1
0,10.53,47.37,1,1,1,1.0,0,0,-1,1
1,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,1,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,1,0,-1,1
1,0.0,47.37,1,1,1,1.0,1,0,1,1
0,5.26,47.37,1,1,1,1.0,1,0,1,1
1,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
1,0.0,47.37,1,1,1,1.0,0,0,1,1
0,10.53,47.37,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
1,10.53,47.37,1,1,1,1.0,0,0,1,1
1,15.79,47.37,1,1,1,1.0,0,0,1,1
0,10.53,47.37,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,0.0,52.63,1,1,1,1.0,0,0,0,1
1,10.53,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
1,5.26,52.63,1,1,1,1.0,0,0,1,1
0,15.79,52.63,1,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,1,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
1,15.79,57.89,0,1,1,1.0,0,0,1,1
0,21.05,57.89,0,1,1,1.0,0,0,1,1
1,10.53,57.89,0,1,1,1.0,0,0,1,1
0,15.79,57.89,0,1,1,1.0,1,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,1,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,10.53,47.37,1,1,1,1.0,0,0,-1,1
1,15.79,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,1,0,1,1
0,5.26,68.42,0,1,1,1.0,0,0,-1,1
0,10.53,42.11,1,1,1,1.0,0,0,-1,1
0,0.0,73.68,0,1,1,1.0,0,0,1,1
0,0.0,68.42,0,1,1,1.0,0,0,1,1
0,5.26,73.68,0,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,10.53,73.68,0,1,1,1.0,0,0,-1,1
0,0.0,68.42,0,1,1,1.0,0,0,-1,1
0,10.53,42.11,1,1,1,1.0,0,0,1,1
0,0.0,63.16,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,42.11,1,1,1,1.0,1,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,1,0,1,1
0,0.0,57.89,0,1,1,1.0,0,0,-1,1
0,15.79,52.63,1,1,1,1.0,0,0,-1,1
0,0.0,57.89,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,5.26,73.68,0,1,1,1.0,0,0,1,1
0,0.0,73.68,0,1,1,1.0,0,0,-1,1
0,5.26,42.11,1,1,1,1.0,0,0,-1,1
0,0.0,63.16,0,1,1,1.0,0,0,0,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
1,5.26,63.16,0,1,1,1.0,0,0,-1,0
0,5.26,63.16,0,1,1,1.0,0,0,1,0
0,15.79,57.89,0,1,1,1.0,0,0,1,0
1,10.53,52.63,1,1,1,1.0,1,0,-1,0
0,0.0,73.68,0,1,1,1.0,0,0,0,0
0,0.0,73.68,0,1,1,1.0,1,0,1,0
0,10.53,47.37,1,1,1,1.0,1,0,1,0
1,5.26,52.63,1,1,1,1.0,0,0,1,0
0,10.53,52.63,1,1,1,1.0,1,0,1,0
1,10.53,47.37,1,1,1,1.0,0,0,-1,0
1,0.0,68.42,0,1,1,1.0,0,0,1,0
0,10.53,47.37,1,1,1,1.0,0,0,1,0
1,10.53,36.84,0,1,1,1.0,0,0,-1,0
1,5.26,68.42,0,1,1,1.0,0,0,-1,0
0,0.0,57.89,0,1,1,1.0,0,0,1,0
1,5.26,42.11,1,1,1,1.0,0,0,1,0
0,5.26,47.37,1,1,1,1.0,1,0,1,0
0,5.26,52.63,1,1,1,1.0,1,0,-1,0
0,5.26,36.84,0,1,1,1.0,1,0,1,0
0,5.26,57.89,0,1,1,1.0,1,0,-1,0
1,5.26,36.84,0,1,1,1.0,0,0,1,0
0,5.26,68.42,0,1,1,1.0,1,0,1,0
1,5.26,36.84,0,1,1,1.0,1,0,1,0
0,5.26,42.11,1,1,1,1.0,0,0,1,0
0,10.53,57.89,0,1,1,1.0,1,0,1,0
1,10.53,36.84,0,1,1,1.0,1,0,-1,0
1,0.0,63.16,0,1,1,1.0,1,0,1,0
0,5.26,47.37,1,1,1,1.0,1,0,0,0
0,10.53,52.63,1,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,1,0,1,0
0,10.53,36.84,0,1,1,1.0,1,0,-1,0
0,10.53,73.68,0,1,1,1.0,0,0,-1,0
0,5.26,52.63,1,1,1,1.0,0,0,1,0
1,5.26,52.63,1,1,1,1.0,0,0,-1,0
0,10.53,73.68,0,1,1,1.0,0,0,1,0
1,5.26,57.89,0,1,1,1.0,0,0,-1,0
1,10.53,36.84,0,1,1,1.0,1,0,-1,0
0,10.53,47.37,1,1,1,1.0,0,0,1,0
1,5.26,52.63,1,1,1,1.0,0,0,-1,0
0,5.26,52.63,1,1,1,1.0,0,0,1,0
1,5.26,47.37,1,1,1,1.0,0,0,-1,0
1,5.26,57.89,0,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,-1,0
0,10.53,36.84,0,1,1,1.0,0,0,-1,0
0,5.26,42.11,1,1,1,1.0,0,0,-1,0
0,21.05,57.89,0,1,1,1.0,1,0,1,0
0,10.53,42.11,1,1,1,1.0,1,0,1,0
0,10.53,47.37,1,1,1,1.0,1,0,-1,0
0,5.26,47.37,1,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,1,0
0,5.26,47.37,1,1,1,1.0,0,0,-1,0
0,0.0,57.89,0,1,1,1.0,0,0,1,0
0,0.0,73.68,0,1,1,1.0,0,0,-1,0
0,15.79,57.89,0,1,1,1.0,1,0,1,0
0,5.26,42.11,1,1,1,1.0,1,0,-1,0
1,21.05,52.63,1,1,1,1.0,1,0,1,0
0,10.53,47.37,1,1,1,1.0,0,0,-1,0
0,10.53,42.11,1,1,1,1.0,1,0,-1,0
0,5.26,73.68,0,1,1,1.0,0,0,-1,0
0,10.53,52.63,1,1,1,1.0,0,0,1,0
0,10.53,57.89,0,1,1,1.0,0,0,1,0
0,5.26,42.11,1,1,1,1.0,0,0,-1,0
1,5.26,36.84,0,1,1,1.0,1,0,1,0
1,15.79,52.63,1,1,1,1.0,0,0,-1,0
1,5.26,52.63,1,1,1,1.0,0,0,1,0
0,10.53,52.63,1,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
0,5.26,73.68,0,1,1,1.0,0,0,-1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
0,5.26,52.63,1,1,1,1.0,0,0,-1,0
0,10.53,42.11,1,1,1,1.0,0,0,-1,0
0,5.26,42.11,1,1,1,1.0,1,0,1,0
0,10.53,42.11,1,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
0,0.0,57.89,0,1,1,1.0,0,0,-1,0
1,10.53,42.11,1,1,1,1.0,1,0,1,0
0,21.05,57.89,0,1,1,1.0,0,0,-1,0
0,5.26,52.63,1,1,1,1.0,0,0,-1,0
0,0.0,57.89,0,1,1,1.0,0,0,1,0
0,5.26,63.16,0,1,1,1.0,0,0,1,0
0,10.53,47.37,1,1,1,1.0,1,0,1,0
0,10.53,63.16,0,1,1,1.0,0,0,1,0
0,5.26,42.11,1,1,1,1.0,0,0,1,0
0,0.0,63.16,0,1,1,1.0,1,0,1,0
1,0.0,63.16,0,1,1,1.0,0,0,-1,0
0,5.26,36.84,0,1,1,1.0,1,0,1,0
0,5.26,36.84,0,1,1,1.0,0,0,1,0
0,5.26,36.84,0,1,1,1.0,1,0,-1,0
0,10.53,36.84,0,1,1,1.0,0,0,-1,0
1,15.79,52.63,1,1,1,1.0,0,0,-1,0
0,0.0,57.89,0,1,1,1.0,0,0,-1,0
0,5.26,52.63,1,1,1,1.0,1,0,1,0
0,5.26,63.16,0,1,1,1.0,1,0,1,0
0,5.26,52.63,1,1,1,1.0,0,0,1,0
0,5.26,52.63,1,1,1,1.0,1,0,-1,0
0,10.53,42.11,1,1,1,1.0,0,0,1,0
0,5.26,52.63,1,1,1,1.0,0,0,-1,0
0,0.0,63.16,0,1,1,1.0,0,0,0,0
1,15.79,57.89,0,1,1,1.0,1,0,1,0
0,10.53,57.89,0,1,1,1.0,0,0,1,0
0,10.53,52.63,1,1,1,1.0,0,0,1,0
0,10.53,73.68,0,1,1,1.0,0,0,1,0
0,10.53,57.89,0,1,1,1.0,1,0,-1,0
1,5.26,63.16,0,1,1,1.0,1,0,1,0
0,5.26,73.68,0,1,1,1.0,0,0,1,0
0,0.0,73.68,0,1,1,1.0,0,0,1,0
0,5.26,57.89,0,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,-1,0
0,10.53,47.37,1,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,1,0
0,5.26,63.16,0,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,-1,0
0,0.0,63.16,0,1,1,1.0,0,0,1,0
0,15.79,47.37,1,1,1,1.0,0,0,-1,0
1,5.26,73.68,0,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
1,15.79,47.37,1,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,1,0
0,5.26,57.89,0,1,1,1.0,0,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
0,10.53,57.89,0,1,1,1.0,0,0,1,0
0,10.53,73.68,0,1,1,1.0,0,0,-1,0
0,5.26,68.42,0,1,1,1.0,0,0,1,0
0,10.53,73.68,0,1,1,1.0,0,0,-1,0
0,5.26,68.42,0,1,1,1.0,0,0,-1,0
1,10.53,47.37,1,1,1,1.0,0,0,1,0
0,0.0,63.16,0,1,1,1.0,0,0,-1,0
1,5.26,63.16,0,1,1,1.0,0,0,-1,0
1,5.26,36.84,0,1,1,1.0,0,0,-1,0
0,5.26,57.89,0,1,1,1.0,0,0,1,0
0,5.26,52.63,1,1,1,1.0,0,0,-1,0
1,0.0,68.42,0,1,1,1.0,0,0,-1,0
1,10.53,57.89,0,1,1,1.0,0,0,-1,0
0,5.26,57.89,0,1,1,1.0,0,0,-1,0
1,5.26,42.11,1,1,1,1.0,0,0,1,0
0,21.05,57.89,0,1,1,1.0,0,0,1,0
0,5.26,68.42,0,1,1,1.0,0,0,1,0
1,5.26,57.89,0,1,1,1.0,0,0,1,0
1,10.53,42.11,1,1,1,1.0,0,0,1,0
0,5.26,68.42,0,1,1,1.0,0,0,1,0
1,0.0,63.16,0,1,1,1.0,0,0,-1,0
0,5.26,57.89,0,1,1,1.0,0,0,-1,0
0,15.79,52.63,1,1,1,1.0,1,0,-1,0
0,15.79,47.37,1,1,1,1.0,0,0,1,0
0,15.79,47.37,1,1,1,1.0,1,0,1,0
0,0.0,68.42,0,1,1,1.0,0,0,-1,0
0,5.26,68.42,0,1,1,1.0,0,0,1,0
0,15.79,52.63,1,1,1,1.0,0,0,1,0
0,5.26,63.16,0,1,1,1.0,0,0,1,0
0,10.53,73.68,0,1,1,1.0,0,0,1,0
0,5.26,63.16,0,1,1,1.0,0,0,1,0
0,5.26,42.11,1,1,1,1.0,0,0,-1,0
0,0.0,63.16,0,1,1,1.0,1,0,1,0
1,0.0,63.16,0,1,1,1.0,1,0,-1,0
0,0.0,36.84,0,1,1,1.0,0,0,-1,1
1,5.26,57.89,0,1,1,1.0,0,0,-1,1
0,0.0,52.63,1,1,1,1.0,1,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,1,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
1,10.53,52.63,1,1,1,1.0,1,0,-1,1
1,10.53,52.63,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
1,5.26,47.37,1,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,63.16,0,1,1,1.0,1,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
1,10.53,52.63,1,1,1,1.0,0,0,1,1
1,10.53,47.37,1,1,1,1.0,1,0,1,1
1,10.53,57.89,0,1,1,1.0,0,0,-1,1
1,5.26,52.63,1,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,0,0,-1,1
1,10.53,52.63,1,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,10.53,52.63,1,1,1,1.0,1,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,5.26,57.89,0,1,1,1.0,1,0,1,1
0,5.26,42.11,1,1,1,1.0,0,0,1,1
1,0.0,42.11,1,1,1,1.0,1,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,1,0,-1,1
0,0.0,42.11,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,36.84,0,1,1,1.0,1,0,-1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,1,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
1,5.26,63.16,0,1,1,1.0,1,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,47.37,1,1,1,1.0,1,0,1,1
0,15.79,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,0.0,52.63,1,1,1,1.0,0,0,1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,0.0,42.11,1,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,1,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,0.0,52.63,1,1,1,1.0,0,0,-1,1
1,0.0,47.37,1,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,0.0,36.84,0,1,1,1.0,1,0,-1,1
0,10.53,57.89,0,1,1,1.0,1,0,-1,0
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
1,5.26,42.11,1,1,1,1.0,1,0,-1,1
0,0.0,36.84,0,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,42.11,1,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,0.0,36.84,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,0,0,-1,1
1,10.53,57.89,0,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,1,0,-1,1
0,5.26,63.16,0,1,1,1.0,0,0,1,1
1,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,-1,1
0,0.0,47.37,1,1,1,1.0,0,0,1,1
0,15.79,57.89,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,0.0,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,0,1
0,0.0,47.37,1,1,1,1.0,1,0,-1,1
1,0.0,57.89,0,1,1,1.0,0,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
1,5.26,47.37,1,1,1,1.0,0,0,1,1
0,5.26,42.11,1,1,1,1.0,1,0,-1,1
1,10.53,63.16,0,1,1,1.0,1,0,-1,1
0,5.26,36.84,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,1,0,1,1
1,5.26,52.63,1,1,1,1.0,0,0,1,1
0,5.26,47.37,1,1,1,1.0,1,0,-1,1
0,5.26,52.63,1,1,1,1.0,1,0,-1,1
1,0.0,42.11,1,1,1,1.0,1,0,-1,1
0,0.0,57.89,0,1,1,1.0,1,0,1,1
0,5.26,47.37,1,1,1,1.0,0,0,1,1
1,0.0,36.84,0,1,1,1.0,1,0,-1,1
0,15.79,63.16,0,1,1,1.0,0,0,-1,1
0,10.53,57.89,0,1,1,1.0,1,0,1,1
0,15.79,63.16,0,1,1,1.0,1,0,1,1
0,5.26,57.89,0,1,1,1.0,1,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
0,5.26,63.16,0,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,52.63,1,1,1,1.0,0,0,1,1
1,5.26,52.63,1,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,1,0,-1,1
1,0.0,52.63,1,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
0,0.0,57.89,0,1,1,1.0,1,0,-1,1
0,10.53,57.89,0,1,1,1.0,0,0,-1,1
0,5.26,36.84,0,1,1,1.0,1,0,1,1
0,5.26,63.16,0,1,1,1.0,1,0,1,1
0,10.53,47.37,1,1,1,1.0,0,0,-1,1
1,15.79,63.16,0,1,1,1.0,0,0,1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
0,10.53,63.16,0,1,1,1.0,0,0,-1,1
1,0.0,52.63,1,1,1,1.0,0,0,-1,1
0,0.0,52.63,1,1,1,1.0,0,0,-1,1
0,5.26,57.89,0,1,1,1.0,0,0,1,1
1,0.0,36.84,0,1,1,1.0,0,0,1,1
0,10.53,52.63,1,1,1,1.0,1,0,1,1
0,10.53,57.89,0,1,1,1.0,0,0,1,1
1,5.26,63.16,0,1,1,1.0,1,0,-1,1
0,10.53,63.16,0,1,1,1.0,0,0,1,1
